n,bc,num_threads,mergesort_time,stl_sort_time,speedup,efficiency
16777216,16777216,1,2.94987,2.9472,0.999095,0.999095
16777216,8388608,2,1.55582,2.94817,1.89493,0.947463
16777216,5592405,3,1.4922,2.94985,1.97685,0.65895
16777216,4194304,4,0.792704,2.95967,3.73363,0.933409
16777216,3355443,5,0.783951,2.94456,3.75605,0.75121
16777216,2796202,6,0.795151,2.94551,3.70434,0.617389
16777216,2396745,7,0.777089,2.94695,3.79229,0.541756
16777216,2097152,8,0.451219,2.9718,6.58615,0.823269
16777216,1864135,9,0.576196,2.95456,5.1277,0.569745
16777216,1677721,10,0.425173,2.951,6.94069,0.694069
16777216,1525201,11,0.42582,2.94617,6.91881,0.628983
16777216,1398101,12,0.426134,2.94638,6.91421,0.576184
16777216,1290555,13,0.421279,2.9541,7.01223,0.539402
16777216,1198372,14,0.399743,2.94563,7.36881,0.526343
16777216,1118481,15,0.394192,2.94756,7.47748,0.498499
16777216,1048576,16,0.25198,2.94887,11.7028,0.731425
16777216,986895,17,0.310443,2.96443,9.54903,0.561708
16777216,932067,18,0.311881,2.95558,9.47661,0.526478
16777216,883011,19,0.313473,2.94769,9.40332,0.494912
16777216,838860,20,0.24894,2.95438,11.8678,0.593392
16777216,798915,21,0.294994,2.94779,9.9927,0.475843
16777216,762600,22,0.260333,2.94676,11.3192,0.514508
16777216,729444,23,0.263455,2.94883,11.1929,0.486649
16777216,699050,24,0.26168,2.94597,11.2579,0.469079
16777216,671088,25,0.246095,2.94789,11.9787,0.479146
16777216,645277,26,0.243962,2.95805,12.1251,0.466349
16777216,621378,27,0.23699,2.96148,12.4962,0.462822
16777216,599186,28,0.236619,2.94905,12.4633,0.445118
16777216,578524,29,0.223341,2.94905,13.2042,0.455317
16777216,559240,30,0.235622,2.94828,12.5128,0.417093
16777216,541200,31,0.24457,2.96447,12.1211,0.391005
16777216,524288,32,0.213737,3.02893,14.1713,0.442854
16777216,508400,33,0.228373,2.94602,12.9,0.39091
16777216,493447,34,0.195801,3.01566,15.4016,0.452989
16777216,479349,35,0.206399,2.94941,14.2898,0.408281
16777216,466033,36,0.221086,3.06666,13.8709,0.385303
16777216,453438,37,0.193264,2.95517,15.2908,0.413266
16777216,441505,38,0.200274,2.95343,14.747,0.388078
16777216,430185,39,0.184104,3.1058,16.8698,0.432559
16777216,419430,40,0.186251,2.94978,15.8376,0.395941
16777216,409200,41,0.188415,2.94978,15.6558,0.381848
16777216,399457,42,0.175503,3.09597,17.6406,0.420013
16777216,390167,43,0.167276,2.96124,17.7028,0.411692
16777216,381300,44,0.178499,2.95748,16.5686,0.37656
